periodo,mes,Generación_kWh,Demanda_No_Atendida_kWh,Exportaciones_kWh,Importaciones_kWh,Volumen_Mm³,Aportes_Caudal_m3/s,Mínimo_Generación_Hidraulica_kWh,delta_reservas_7d,regimen_enso
2026,1,229145320,0,51200,7280,13850,2450,5920000,-0.008,neutro
2026,2,218763400,26760,0,19450,12640,1870,5210000,-0.021,el_nino
2026,3,205982100,90500,0,0,10320,1320,4380000,-0.038,el_nino
2026,4,198450600,247450,0,0,8750,980,3650000,-0.031,el_nino
2026,5,215678900,72300,6060000,0,9480,1540,4820000,0.012,neutro
2026,6,224391500,31200,3120000,0,11260,2180,5470000,0.025,neutro
2026,7,231845200,0,6850000,0,13120,3250,6240000,0.018,la_nina
2026,8,237614800,0,8910000,0,14430,4580,6890000,0.033,la_nina
2026,9,233027600,90500,5640000,0,13970,3870,6510000,0.009,la_nina
2026,10,226489300,48200,1820000,7280,12780,2960,5980000,-0.004,neutro
